"Labelled energy consumption (kWh/year)","Screensize_inch"
479,32
94,22
76,16
369,42
504,50
110,32
145,32
206,42
257,47
413,42
504,50
329,42
449,50
100,32
86,32
185,32
258,39
331,46
278,32
568,46
568,46
76,19
94,24
89,22
195,32
282,39
252,42
179,37
100,32
320,32
170,24
320,32
91,19
119,22
120,24
105,19
189,32
254,39
331,46
138,32
208,39
410,48
532,46
499,58
281,42
134,32
439,49
135,32
58,16
132,24
51,16
76,19
90,22
271,39
224,42
225,40
90,32
240,42
444,50
89,32
279,55
214,40
225,39
134,32
134,32
225,40
367,55
91,22
76,19
90,19
105,24
105,24
210,40
403,65
286,50
216,40
221,41
90,19
345,50
233,43
458,60
76,19
134,32
152,32
218.4,40
345,50
608,55
681,64
115,24
285,48
461,55
434,60
115,24
134,32
86,19
449,55
420,55
80,19
131,32
115,24
459,61
138.5,32
110,21
95,24
141,32
138,31
413,55
647,65
353,49
496,60
121,19
116,24
188,40
75,24
302,49
399,60
572,70
163,32
212,40
285,49
328,55
439,65
165,40
235,42
318,49
116,32
758,74
350,55
380,49
67,24
322,58
319,55
627,75
291,43
291,43
291,43
331,49
411,55
243,42
366,49
311,50
337,57
391,66
114,32
170,42
226,43
342,55
342,55
433,65
433,65
565,65
995,77
1170,88
267,55
313,49
468,57
1660,86
1060,75
148,39
265,49
104,31
357,58
336,58
729,85
430,60
364,42
1448,75
1127,64
1609,85
371,65
1448,85
1229,75
1087,64
485,55
543,55
704,85
605,75
397,49
726,75
255,42
335,49
310,55
346,57
426,64
525,75
362,65
514,65
294,55
389,65
190,49
180,42
454,55
553,65
693,77
421,49
487,55
590,65
715,75
719,74
178,42
490,65
468,57
298,57
370,65
580,64
758,75
485,74
382,64
1520,85
765,83
362,65
744,64
335,49
760,75
370,58
485,65
370,58
130,32
301,58
235,42
468,57
580,64
389,55
459,65
732,83
732,83
945,85
405,70
67,24
259,42
280,48
280,48
320,55
470,49
385,65
255,42
335,49
750,75
310,55
426,64
525,75
750,75
370,58
339,49
408,55
430,64
569,75
330,55
293,42
365,49
440,55
544,65
859,75
882,85
458,65
254,50
304,55
554,65
829,55
651,82
550,70
371,65
104,32
380,55
760,75
904,75
1280,86
594,75
517,75
408,64
333,55
300,49
496,75
225,49
190,42
962,85
380,49
580,64
303,55
893,86
528,75
642,65
763,75
818,85
450,58
776,86
1011,65
284,49
78,24
284,49
627,75
572,70
262,55
300,64
806,64
284,43
886,75
364,49
520,64
703,75
684,75
238,55
295,65
468,55
429,70
638,65
85,24
1190,75
265,49
349,55
506,64
492,65
240,43
422,55
287,43
338,49
561,70
123,32
135,40
952,85
758,75
273,55
104,31
952,85
256,50
98,32
220,43
155,39
320,55
61,19
291,43
349,49
415,55
572,65
659,75
882,86
527,55
690,64
830,75
517,65
280,50
429,55
269,43
339,55
453,65
450,58
380,50
440,65
601,65
805,65
393,75
430,65
560,70
580,64
640,69
1116,85
288,49
378,58
184,39
459,64
515,70
683,75
404,55
450,58
380,50
726,55
510,65
160,41
651,82
104,31
450,65
225,50
653,70
580,70
474,60
125,32
104,31
240,42
367,65
824,85
1088,85
310,55
383,64
715,75
537,55
593,64
730,75
1345,85
255,42
288,49
812,65
62,19
324,55
430,64
569,75
645,85
302,49
266,42
547,75
188,42
155,40
430,55
301,58
177,42
371,65
340,55
698,85
496,69
279,50
586,65
424,55
218,39
404,55
65,23
160,43
175,48
202,55
483,64
514,55
468,57
345,50
1127,98
312,55
225,50
404,75
898,64
1118,75
426,55
138,32
520,65
371,65
372,70
510,65
68,24
85,24
300,64
1350,97
507,60
68,24
284,50
134,32
110,32
335,58
683,75
758,75
468,57
405,70
105,32
693,65
190,40
649,65
422,70
287,49
295,55
422,65
514,75
370,49
99,32
159,42
376,50
589,70
518,65
1170,85
810,75
347,55
237,43
110,32
70,24
323,42
400,64
765,75
208,43
451,75
426,55
367,65
98,32
110,32
155,40
70,24
253,50
382,65
286,55
423,55
467,65
202,40
98,32
514,55
751,65
868,75
120,32
171,43
106,21
415,55
596,55
211,40
175,40
682,75
135,32
240,42
725,65
255,43
335,55
313,49
426,65
565,75
262,49
140,43
370,56
245,46
151,39
667,75
216,43
259,50
443,75
785,75
294,58
381,65
84,24
85,24
284,55
151,40
506,75
60,18
440,65
572,64
346,58
756,75
465,70
612,70
320,60
600,85
369,65
381,55
362,55
402,65
287,49
371,55
433,65
149,39
367,65
367,65
62,19
130,31
360,65
261,42
312,49
230,41
400,55
354,49
194,43
210,50
247,55
271,58
170,42
275,57
128,32
102,32
132,32
174,42
172,50
214,55
370,65
562,75
592,75
151,40
422,55
528,65
151,40
98,24
78,24
416,65
191,43
832,75
638,75
203,50
440,65
579,75
579,75
674,86
674,86
280,48
316,55
316,55
375,55
349,55
349,55
393,65
393,65
462,65
411,65
411,65
513,77
513,77
656,83
656,83
157,41
630,65
232,42
232,42
284,48
284,48
276,43
276,43
284,43
331,49
331,49
295,49
295,49
287,49
419,55
419,55
346,55
346,55
360,55
528,65
528,65
433,65
433,65
543,65
663,75
663,75
492,75
492,75
630,75
915,86
915,86
